Date,Open*,High,Low,Close**,Volume,Market Cap
"Mar 24, 2018",0.646214,0.679608,0.640516,0.641265,390740000,25263200000
"Mar 23, 2018",0.663111,0.663111,0.625258,0.643174,387164000,25923800000
"Mar 22, 2018",0.693145,0.701351,0.636741,0.662743,449042000,27097900000
"Mar 21, 2018",0.713055,0.72061,0.679162,0.693664,527324000,27876200000
"Mar 20, 2018",0.736759,0.736759,0.673427,0.709808,814276000,28802900000
"Mar 19, 2018",0.672126,0.74908,0.640012,0.74908,1096930000,26274600000
"Mar 18, 2018",0.634466,0.677591,0.548815,0.658777,923606000,24802400000
"Mar 17, 2018",0.687745,0.689434,0.626709,0.637856,319824000,26885100000
"Mar 16, 2018",0.699063,0.71178,0.674463,0.68926,502740000,27327600000
"Mar 15, 2018",0.702913,0.730673,0.643845,0.697269,888345000,27478100000
"Mar 14, 2018",0.789569,0.79908,0.67601,0.701902,479149000,30865600000
"Mar 13, 2018",0.798451,0.805729,0.778471,0.789711,279679000,31213000000
"Mar 12, 2018",0.832127,0.838328,0.787882,0.801048,355031000,32529500000
"Mar 11, 2018",0.795765,0.840407,0.775737,0.831122,472972000,31108000000
"Mar 10, 2018",0.854872,0.860443,0.793736,0.796627,402670000,33418600000
"Mar 09, 2018",0.826122,0.856182,0.751485,0.849761,989203000,32294700000
"Mar 08, 2018",0.872508,0.888562,0.825387,0.825857,499496000,34108000000
"Mar 07, 2018",0.924378,0.930659,0.824895,0.87121,809598000,36135700000
"Mar 06, 2018",0.954448,0.991306,0.916863,0.922887,875180000,37311200000
"Mar 05, 2018",1.01,1.08,0.956116,0.959368,1706820000,39650700000
"Mar 04, 2018",0.906008,1.03,0.895618,1.01,797226000,35417600000
"Mar 03, 2018",0.908786,0.926512,0.903604,0.907804,280853000,35526200000
"Mar 02, 2018",0.926638,0.933912,0.902286,0.910144,271036000,36226700000
"Mar 01, 2018",0.904131,0.953796,0.89063,0.928347,475257000,35346800000
"Feb 28, 2018",0.944697,0.95555,0.903787,0.904583,329530000,36932700000
"Feb 27, 2018",0.959302,0.97258,0.944977,0.947305,312713000,37503700000
"Feb 26, 2018",0.943704,0.970906,0.913403,0.956859,458613000,36893900000
"Feb 25, 2018",0.951977,0.967597,0.915279,0.943487,360271000,37217300000
"Feb 24, 2018",0.997659,1.01,0.929456,0.954402,489920000,39003300000
"Feb 23, 2018",0.934176,1.03,0.898286,0.998855,896404000,36441500000
"Feb 22, 2018",1.01,1.05,0.922458,0.941788,889707000,39487400000
"Feb 21, 2018",1.08,1.1,0.998881,1.02,871526000,42207600000
"Feb 20, 2018",1.14,1.17,1.08,1.09,806673000,44648100000
"Feb 19, 2018",1.12,1.17,1.12,1.14,556304000,43813300000
"Feb 18, 2018",1.2,1.21,1.09,1.12,1113650000,46997500000
"Feb 17, 2018",1.14,1.22,1.13,1.2,1186730000,44370200000
"Feb 16, 2018",1.14,1.15,1.11,1.14,568339000,44663300000
"Feb 15, 2018",1.14,1.16,1.11,1.15,1188530000,44433600000
"Feb 14, 2018",1.03,1.17,1.02,1.14,1457600000,40026500000
"Feb 13, 2018",1.08,1.08,1.01,1.03,921100000,42119800000
"Feb 12, 2018",1.01,1.11,1.01,1.08,1756290000,39262700000
"Feb 11, 2018",1.07,1.08,0.929767,1,2555310000,41635500000
"Feb 10, 2018",0.947251,1.3,0.947251,1.07,4682010000,36951500000
"Feb 09, 2018",0.79714,0.954428,0.77154,0.954428,1690340000,31095800000
"Feb 08, 2018",0.729252,0.80697,0.722611,0.805263,947315000,28447500000
"Feb 07, 2018",0.774576,0.805478,0.70695,0.723895,1133370000,30215600000
"Feb 06, 2018",0.705121,0.786004,0.58836,0.776393,2361140000,27506200000
"Feb 05, 2018",0.825943,0.833866,0.675827,0.691799,1286180000,32219400000
"Feb 04, 2018",0.913418,0.952947,0.796821,0.815703,1190960000,35631700000
"Feb 03, 2018",0.891992,0.974799,0.761635,0.924043,1988960000,34795900000
"Feb 02, 2018",0.960642,0.960642,0.635185,0.884784,3529760000,37473900000
"Feb 01, 2018",1.16,1.16,0.930378,0.96253,1410420000,44971500000
"Jan 31, 2018",1.13,1.19,1.04,1.16,1264030000,43800800000
"Jan 30, 2018",1.33,1.33,1.13,1.14,1134640000,51452400000
"Jan 29, 2018",1.4,1.41,1.3,1.32,1073680000,54204300000
"Jan 28, 2018",1.22,1.44,1.22,1.4,1327360000,47412500000
"Jan 27, 2018",1.22,1.24,1.19,1.22,689101000,47180200000
"Jan 26, 2018",1.31,1.33,1.14,1.22,2037570000,50706400000
"Jan 25, 2018",1.36,1.38,1.29,1.31,986068000,52811100000
"Jan 24, 2018",1.35,1.42,1.31,1.36,1853440000,52380100000
"Jan 23, 2018",1.35,1.43,1.2,1.34,2977080000,52421300000
"Jan 22, 2018",1.39,1.43,1.16,1.36,2642510000,53909800000
"Jan 21, 2018",1.58,1.58,1.34,1.38,2840750000,61061900000
"Jan 20, 2018",1.56,1.63,1.5,1.58,2346450000,60543000000
"Jan 19, 2018",1.58,1.7,1.5,1.55,3697430000,61291900000
"Jan 18, 2018",1.31,1.73,1.26,1.6,9110440000,50577100000
"Jan 17, 2018",1.18,1.38,0.897797,1.31,7251210000,45854700000
"Jan 16, 2018",1.68,1.7,0.909313,1.18,5687960000,65018400000
"Jan 15, 2018",1.86,1.9,1.67,1.68,1838460000,71909400000
"Jan 14, 2018",2.02,2.02,1.81,1.86,1978200000,78195800000
"Jan 13, 2018",2.05,2.12,1.98,2.02,2130170000,79469700000
"Jan 12, 2018",1.94,2.16,1.87,2.04,3330810000,75172500000
"Jan 11, 2018",1.98,2.25,1.62,1.95,6296120000,76711800000
"Jan 10, 2018",2.13,2.16,1.7,1.97,4833640000,82511000000
"Jan 09, 2018",2.44,2.53,1.98,2.1,3694700000,94657500000
"Jan 08, 2018",3.36,3.36,2.07,2.46,3315260000,130302000000
"Jan 07, 2018",3.09,3.49,3.08,3.38,2395150000,119819000000
"Jan 06, 2018",3.02,3.24,2.99,3.09,2777560000,117033000000
"Jan 05, 2018",3.3,3.56,2.83,3.05,6288500000,127870000000
"Jan 04, 2018",3.12,3.84,3.12,3.2,8103660000,120763000000
"Jan 03, 2018",2.46,3.28,2.44,3.11,6635880000,95457200000
"Jan 02, 2018",2.37,2.49,2.25,2.48,3171010000,91791800000
"Jan 01, 2018",2.3,2.39,2.15,2.39,1894230000,88945900000
"Dec 31, 2017",2.1,2.39,1.87,2.3,4642080000,81162600000
"Dec 30, 2017",2.2,2.85,2.04,2.16,8108390000,85187400000
"Dec 29, 2017",1.44,2.27,1.44,2.21,7545740000,55767500000
"Dec 28, 2017",1.39,1.5,1.26,1.43,2843300000,53998200000
"Dec 27, 2017",1.18,1.47,1.18,1.4,2854260000,45875700000
"Dec 26, 2017",1.12,1.19,1.09,1.19,938847000,43455400000
"Dec 25, 2017",1.05,1.13,1,1.12,686014000,40506000000
"Dec 24, 2017",1.18,1.18,0.911226,1.04,754959000,45541100000
"Dec 23, 2017",1.17,1.21,1.08,1.17,1497590000,45167600000
"Dec 22, 2017",1.17,1.38,0.741013,1.14,4644700000,45189500000
"Dec 21, 2017",0.782515,1.24,0.782515,1.19,3626110000,30314000000
"Dec 20, 2017",0.787171,0.789044,0.730953,0.775964,1007420000,30494300000
"Dec 19, 2017",0.777447,0.863536,0.756724,0.791257,1449670000,30117600000
"Dec 18, 2017",0.728036,0.792014,0.689323,0.778407,1342720000,28203500000
"Dec 17, 2017",0.754125,0.765981,0.719929,0.728366,805200000,29214200000
"Dec 16, 2017",0.755493,0.815923,0.741667,0.758642,1334770000,29267100000
"Dec 15, 2017",0.86176,0.86176,0.666114,0.756181,3194210000,33383900000
"Dec 14, 2017",0.470648,0.892267,0.466401,0.864263,6358700000,18232500000
"Dec 13, 2017",0.372689,0.513768,0.342964,0.471063,2738760000,14437600000
"Dec 12, 2017",0.252258,0.434102,0.250961,0.373541,1555040000,9772240000
"Dec 11, 2017",0.236574,0.252777,0.235804,0.251691,176101000,9164670000
"Dec 10, 2017",0.245548,0.245548,0.229304,0.237333,198174000,9512330000
"Dec 09, 2017",0.252162,0.255684,0.240073,0.244708,205289000,9768540000
"Dec 08, 2017",0.223636,0.278673,0.222168,0.252125,660172000,8663460000
"Dec 07, 2017",0.232623,0.23376,0.22134,0.222823,275205000,9011630000
"Dec 06, 2017",0.245416,0.245705,0.227742,0.232544,274526000,9507190000
"Dec 05, 2017",0.253598,0.253988,0.245234,0.246101,174591000,9815990000
