,id,name,symbol,website_slug
366,1200,NevaCoin,NEVA,nevacoin
367,1206,BumbaCoin,BUMBA,bumbacoin
368,1208,RevolutionVR,RVR,revolutionvr
369,1209,PosEx,PEX,posex
370,1210,Cabbage,CAB,cabbage
371,1212,MojoCoin,MOJO,mojocoin
372,1213,GoldMaxCoin,GMX,goldmaxcoin
373,1214,Lisk,LSK,lisk
374,1216,EDRCoin,EDRC,edrcoin
375,1218,PostCoin,POST,postcoin
376,1222,Operand,OP,operand
377,1223,BERNcash,BERN,berncash
378,1226,Qwark,QWARK,qwark
379,1229,DigixDAO,DGD,digixdao
380,1230,Steem,STEEM,steem
381,1234,Fantasy Cash,FANS,fantasy-cash
382,1238,Espers,ESP,espers
383,1241,FuzzBalls,FUZZ,fuzzballs
384,1244,HiCoin,XHI,hicoin
385,1247,AquariusCoin,ARCO,aquariuscoin
386,1248,Bitcoin 21,XBTC21,bitcoin-21
387,1249,Elcoin,EL,elcoin-el
388,1250,Zurcoin,ZUR,zurcoin
389,1251,SixEleven,611,sixeleven
390,1252,2GIVE,2GIVE,2give
391,1254,PlatinumBAR,XPTX,platinumbar
392,1256,Alphabit,ABC,alphabitcoinfund
393,1257,LanaCoin,LANA,lanacoin
394,1259,PonziCoin,PONZI,ponzicoin
395,1264,TeslaCoilCoin,TESLA,teslacoilcoin
396,1266,MarteXcoin,MXT,martexcoin
397,1268,Nullex,NLX,nullex
398,1269,RichCoin,RICHX,richcoin
399,1271,PrismChain,PRM,prismchain
400,1274,Waves,WAVES,waves
401,1275,Newbium,NEWB,newbium
402,1276,ICO OpenLedger,ICOO,ico-openledger
403,1279,Powercoin,PWR,powercoin
404,1281,ION,ION,ion
405,1282,High Voltage,HVCO,high-voltage
406,1283,Mineum,MNM,mineum
407,1284,RevolverCoin,XRE,revolvercoin
408,1285,GoldBlocks,GB,goldblocks
409,1286,Breakout,BRK,breakout
410,1288,Debitcoin,DBTC,debitcoin
411,1291,Comet,CMT,comet
412,1294,Rise,RISE,rise
413,1297,ChessCoin,CHESS,chesscoin
414,1298,LBRY Credits,LBC,library-credit
415,1299,PutinCoin,PUT,putincoin
416,1303,Breakout Stake,BRX,breakout-stake
417,1304,Syndicate,SYNX,syndicate
418,1306,Cryptojacks,CJ,cryptojacks
419,1308,HEAT,HEAT,heat-ledger
420,1309,LetItRide,LIR,letitride
421,1310,DAPPSTER,DLISK,dappster
422,1312,Steem Dollars,SBD,steem-dollars
423,1313,LinkedCoin,LKC,linkedcoin
424,1320,Ardor,ARDR,ardor
425,1321,Ethereum Classic,ETC,ethereum-classic
426,1322,808Coin,808,808coin
427,1323,First Bitcoin,BIT,first-bitcoin
428,1330,PokeCoin,POKE,pokecoin
429,1334,Elementrem,ELE,elementrem
430,1336,UGAIN,GAIN,ugain
431,1340,Karbo,KRB,karbo
432,1341,VapersCoin,VPRC,vaperscoin
433,1343,Stratis,STRAT,stratis
434,1348,President Trump,PRES,president-trump
435,1351,Aces,ACES,aces
436,1352,President Johnson,GARY,president-johnson
437,1353,TajCoin,TAJ,tajcoin
438,1356,TodayCoin,TODAY,todaycoin
439,1357,PX,PX,px
440,1358,E-Dinar Coin,EDR,e-dinar-coin
441,1359,BitTokens,BXT,bittokens
442,1361,Artex Coin,ATX,artex-coin
443,1367,Experience Points,XP,experience-points
444,1368,Veltor,VLT,veltor
445,1371,B3Coin,KB3,b3coin
446,1374,BlockPay,BLOCKPAY,blockpay
447,1375,Golfcoin,GOLF,golfcoin
448,1376,NEO,NEO,neo
449,1379,Jewels,JWL,jewels
450,1380,LoMoCoin,LMC,lomocoin
451,1381,Bitcloud,BTDX,bitcloud
452,1382,NoLimitCoin,NLC2,nolimitcoin
453,1385,SportsCoin,SPORT,sportscoin
454,1387,VeriumReserve,VRM,veriumreserve
455,1389,Zayedcoin,ZYD,zayedcoin
456,1390,Jin Coin,JIN,jin-coin
457,1391,Tao,XTO,tao
458,1392,Pluton,PLU,pluton
459,1393,Tellurion,TELL,tellurion
460,1395,Dollarcoin,DLC,dollarcoin
461,1396,MustangCoin,MST,mustangcoin
462,1397,Beatcoin,XBTS,beatcoin
463,1398,PROUD Money,PROUD,proud-money
464,1399,Sequence,SEQ,sequence
465,1400,Omicron,OMC,omicron
466,1403,FirstBlood,1ST,firstblood
467,1405,Pepe Cash,PEPECASH,pepe-cash
468,1408,Iconomi,ICN,iconomi
469,1409,SingularDTV,SNGLS,singulardtv
470,1414,ZCoin,XZC,zcoin
471,1418,Rcoin,RCN,rcoin
472,1420,Atomic Coin,ATOM,atomic-coin
473,1421,JobsCoin,JOBS,jobscoin
474,1423,Triggers,TRIG,triggers
475,1425,Sakuracoin,SKR,sakuracoin
476,1429,Levocoin,LEVO,levocoin
477,1434,Advanced Technology Coin,ARC,arcticcoin
478,1435,Cubits,QBT,cubits
479,1436,DynamicCoin,DMC,dynamiccoin
480,1437,Zcash,ZEC,zcash
481,1438,ImpulseCoin,IMPS,impulsecoin
482,1439,AllSafe,ASAFE2,allsafe
483,1442,BipCoin,BIP,bipcoin
484,1447,ZClassic,ZCL,zclassic
485,1448,Zoin,ZOI,zoin
486,1449,WA Space,WA,wa-space
487,1454,Lykke,LKK,lykke
488,1455,Golem,GNT,golem-network-tokens
489,1456,ZetaMicron,ZMC,zetamicron
490,1457,Bitcurrency,BTCR,bitcurrency
491,1459,Regacoin,REGA,regacoin
492,1463,LuckChain,BASH,luckchain
493,1464,Internet of People,IOP,internet-of-people
494,1465,Veros,VRS,veros
495,1466,Hush,HUSH,hush
496,1468,Kurrent,KURT,kurrent
497,1469,Creatio,XCRE,creatio
498,1472,Rawcoin,XRC,rawcoin2
499,1473,Pascal Coin,PASC,pascal-coin
500,1474,Eternity,ENT,eternity
501,1475,Incent,INCNT,incent
502,1478,DECENT,DCT,decent
503,1479,NodeCoin,NODC,nodecoin
504,1480,Golos,GOLOS,golos
505,1481,Nexium,NXC,nexium
506,1482,Shorty,SHORTY,shorty
507,1483,vSlice,VSL,vslice
